Registros de Boletins de Ocorrências por munícipio e mês - 2004;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;03;03/2004;2
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;04;04/2004;8
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;05;05/2004;5
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;06;06/2004;5
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;07;07/2004;4
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;08;08/2004;4
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;09;09/2004;5
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;10;10/2004;3
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;12;12/2004;8
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Homicídio doloso;06;06/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Homicídio doloso;07;07/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Homicídio doloso;09;09/2004;2
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;01;01/2004;3
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;02;02/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;03;03/2004;2
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;06;06/2004;2
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;07;07/2004;3
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;08;08/2004;5
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo de veículo;12;12/2004;5
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo seguido de morte (latrocínio);01;01/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Roubo seguido de morte (latrocínio);07;07/2004;1
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;01;01/2004;29
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;02;02/2004;12
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;03;03/2004;19
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;04;04/2004;14
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;05;05/2004;13
SUDESTE;MG;Minas Gerais;3106200;Belo Horizonte;Estupro;06;06/2004;11
